Country,ISO_code,Years,Age,Any_method,Any_modern_method,Female_Sterilization,Male_Sterilization,Pill,Injectable,IUD,Male_condom,Vaginal_barrier_methods,Implant,Other_modern_methods,Any_traditional_method,Rhythm,Withdrawal,Other_traditional_methods
Iran (Islamic Republic of),364,1995,15-49,"72,8","53,6","13,7","1,3","22,8","1,3","7,1","5,7",0,0,"1,7","19,2",0,0,0
Iran (Islamic Republic of),364,1996,15-49,"73,7","56,1",15,"1,6","21,9","2,5","8,3","5,6",0,0,"0,8",18,0,0,0
Iran (Islamic Republic of),364,1997,15-49,"72,9",56,"15,5","1,9","20,9","2,9","8,3","5,4",0,"0,5","0,6","16,9",0,0,0
Iran (Islamic Republic of),364,2000,15-49,"73,8",56,"17,1","2,7","18,4","2,8","8,5","5,9",0,"0,5","0,1","17,8",0,0,0
Iran (Islamic Republic of),364,2002,15-49,"73,3","58,9","15,2","2,3","25,1","2,3","7,6",6,0,"0,4",0,"14,3","1,7","11,4","1,2"
Iran (Islamic Republic of),364,2010-2011,15-49,"77,4",57,"14,2","2,8",15,"3,5","8,1","13,8",0,0,"0,2","21,7","0,3","21,1","0,3"
Iraq,368,1974,15-49,"14,5","12,9","0,6",0,"8,7","0,6","0,6","1,4",1,0,0,"1,7","0,8","0,5","0,4"
Iraq,368,1989,15-49,"13,7","10,4","1,4",0,"4,7","0,5","2,8",1,0,0,0,"3,4","2,1","1,1","0,2"
Iraq,368,2000,15-49,"43,5","25,4","3,4","0,1","9,2","1,3","10,7","0,7",0,0,0,"18,1","1,9","7,2","9,1"
Iraq,368,2006,15-49,"49,8","32,9","2,6",0,"14,6",2,"12,2","1,1",0,0,"0,3",17,"2,1","7,5","7,4"
Iraq,368,2011,15-49,"52,5","33,6","3,1",0,"15,8","3,1","9,4","1,8","0,4","0,1","0,1","18,8","1,1","15,4","2,3"
Ireland,372,1998,18-50,77,"67,6",0,0,"33,2",0,"1,9","31,2","0,7",0,"0,6","9,4","3,2","2,6","3,6"
Ireland,372,2002,18-50,75,66,0,0,"31,4",0,"4,5","28,1","0,5",0,"1,5","8,9","2,7","1,7","4,5"
Ireland,372,2004-2005,18-49,"64,8","61,4",0,0,"17,2",0,"8,4","23,3","0,1",0,"12,4","5,4","3,3","2,1",0
Israel,376,1987-1988,18-39,68,"51,9",0,0,13,0,30,4,4,0,"0,9",16,4,11,1
Italy,380,1979,18-44,78,"32,7","0,8",0,14,0,"2,3","13,3","2,3",0,0,"45,3","8,6","35,9","0,8"
Italy,380,1995-1996,20-49,"62,7","40,6",6,"0,1","14,2","0,1","5,8","14,2","0,2",0,0,"22,1","3,7","18,2","0,2"
Jamaica,388,1975-1976,15-49,"38,3","36,2","8,1",0,"11,9","6,2",2,"6,6","1,5",0,0,"2,1","0,3","1,4","0,4"
Jamaica,388,1979,15-44,"54,9","54,2","9,8",0,"23,8","11,4",2,"6,5","0,7",0,0,"0,7","0,2","0,5",0
Jamaica,388,1983,15-49,"51,4","48,4","10,9",0,"19,3","7,6",0,"7,6",0,0,3,3,"1,1","1,9",0
Jamaica,388,1989,15-49,"54,6","50,9","13,6",0,"19,5","7,6",0,"8,6",0,0,"1,6","3,7",1,"2,4","0,3"
Jamaica,388,1993,15-44,62,"58,3","12,5",0,"21,5","6,2",0,"16,9",0,"0,1","1,1","3,7","0,7","2,9","0,1"
Jamaica,388,1997,15-49,"65,9","62,6","12,3",0,"21,2","10,9",0,17,0,"0,1","1,1","3,3","0,3","2,8","0,2"
Jamaica,388,2002-2003,15-49,69,"66,2",12,0,18,11,1,24,0,0,"0,2","2,8",0,2,"0,8"
Jamaica,388,2008-2009,15-49,"72,5","68,4",10,0,"17,3","13,8",1,"25,3",0,"0,7","0,3","4,1","0,4","3,7",0
Japan,392,1950,15-49,"19,5","14,2",0,0,0,0,0,"6,9","7,3",0,0,"10,3","5,3","2,5","2,5"
Japan,392,1952,15-49,"26,6","23,5",0,0,0,0,0,"14,8","8,7",0,0,"14,3","10,4","2,9",1
Japan,392,1955,15-49,"34,1","30,2",0,0,0,0,0,"19,4","9,6",0,"1,2","19,9",15,"2,8","2,1"
Japan,392,1957,15-49,39,"36,1","2,4","0,4",0,0,0,22,"11,3",0,0,"22,6","18,2","2,6","1,8"
Japan,392,1959,15-49,"42,7","40,2","2,3","0,4",0,0,0,"24,9","12,6",0,0,"26,2","19,9","4,9","1,4"
Japan,392,1961,15-49,42,"39,2",0,0,0,0,0,"25,4","10,4",0,"3,4",24,"17,9","4,8","1,3"
Japan,392,1963,15-49,"44,6","43,8",0,0,0,0,2,"29,4","9,7",0,"2,7","21,3","16,9","3,5","0,9"
Japan,392,1965,15-49,"55,5","54,1",0,0,0,0,"2,4","36,4","12,1",0,"3,2","27,5","21,5","5,3","0,7"
Japan,392,1967,15-49,53,"49,1",0,0,0,0,"3,2","34,6","9,4",0,"1,9","26,5","19,8","3,9","2,8"
Japan,392,1969,15-49,"52,1","52,1",0,0,"0,9",0,"3,8","35,5","9,8",0,"2,8","23,2","17,7","3,6","1,9"
Japan,392,1971,15-49,"52,6","52,6",0,0,"0,8",0,"4,3","38,2","7,5",0,"2,1","22,3","17,3","3,1","1,9"
Japan,392,1973,15-49,"59,3","59,3",0,0,"1,4",0,"5,3","44,5",7,0,"2,1",23,"17,6","3,7","2,5"
Japan,392,1975,15-49,"60,5","60,5",0,0,"1,8",0,"5,2","47,1","5,7",0,"2,8","25,2","18,1","4,1",3
Japan,392,1977,15-49,"60,4","60,4","2,4","0,8",2,0,"5,5","47,7","4,8",0,0,"21,4","16,3","3,1",2
Japan,392,1979,15-49,"62,2","62,2","1,8","0,7",2,0,"5,2","50,4","3,3",0,0,"19,3","14,4","3,2","1,7"
Japan,392,1984,15-49,"57,3","57,3",0,0,"1,3",0,"3,6","46,1","0,6",0,6,"16,4","11,6","2,4","2,4"
Japan,392,1986,15-49,"62,8","62,7","3,8",1,"1,2",0,"4,2",51,"1,5",0,0,"19,5","13,5","3,4","2,6"
Japan,392,1987,20-49,"64,5","56,6","3,5",1,"0,9",0,3,"48,1",0,0,0,"20,1",9,"10,1","0,9"
Japan,392,1988,15-49,"56,3","51,7","3,3","0,9",1,0,3,"43,2","0,3",0,0,"13,8","9,2","2,8","1,8"
Japan,392,1990,15-49,"57,9","52,5","4,3","1,4","0,6",0,"2,7","42,8","0,8",0,0,"13,3","8,8","3,8","0,7"
Japan,392,1992,15-49,64,57,"3,2","0,8","0,8",0,"3,1","48,2","0,9",0,0,"16,1","10,6","4,9","0,6"
Japan,392,1994,15-49,"58,6","52,8","3,4","0,7","0,4",0,"2,2","45,5","0,6",0,0,"12,6","8,2","4,2","0,3"
Japan,392,1996,15-49,"56,6","50,6",3,"0,7","0,7",0,"2,2","43,7","0,3",0,0,"15,3","9,6","5,4","0,3"
Japan,392,1997,20-49,"60,4","50,7","2,3","0,7","0,5",0,"1,6","45,6",0,0,0,"18,7","5,2","12,1","1,3"
Japan,392,1998,15-49,"54,1",48,"2,5","0,6","0,6",0,"1,7","42,1","0,4",0,0,"13,5","8,9",4,"0,6"
Japan,392,2000,15-49,"55,9","48,3",3,"0,6","0,8",0,"1,5","42,1","0,3",0,0,"24,2","9,1","14,9","0,2"
Japan,392,2004,15-49,52,"44,4",0,0,0,0,0,41,"0,3",0,"3,1","18,5","4,2",0,"14,3"
Japan,392,2005,20-49,"54,3","44,4","1,5","0,4",1,0,"0,9","40,7",0,0,0,"16,8","3,4","11,8","1,6"
Jordan,400,1972,15-49,"26,1","17,6",0,0,"14,1",0,1,"1,1","0,4",0,1,"8,5","2,2","3,2","3,1"
Jordan,400,1976,15-49,"25,2","17,4","1,8","0,1","11,9",0,2,"1,4","0,2",0,0,"7,8","2,1","3,3","2,4"
Jordan,400,1990,15-49,40,"26,9","5,6",0,"4,6",0,"15,3","0,8","0,6",0,0,"13,1","3,9",4,"5,2"
Jordan,400,1997,15-49,"52,6","37,7","4,2",0,"6,5","0,7","23,1","2,4","0,5","0,1","0,2","14,9","4,9","7,6","2,4"
Jordan,400,2002,15-49,"55,8","38,6","2,9",0,"7,5","0,9","23,6","3,4",0,0,"0,3","17,2","5,2","9,3","2,7"
Jordan,400,2007,15-49,"57,1","40,5","3,7",0,"8,4","0,7","22,3","5,3",0,0,"0,1","16,6","4,1","10,8","1,7"
Jordan,400,2009,15-49,"59,3","40,5","2,6",0,"8,2","0,7","22,6","6,3",0,"0,1","0,1","18,8",4,"12,8",2
Jordan,400,2012,15-49,"61,2",41,"2,2",0,"8,1","0,9","21,3","7,9",0,"0,3","0,2","20,2","3,5","14,3","2,3"
Kazakhstan,398,1995,15-49,"59,1","46,1",0,0,"1,8",0,"39,6","3,7",0,0,1,13,"6,5","3,2","3,3"
Kazakhstan,398,1999,15-49,"66,1","52,7","2,8",0,"2,4","0,6",42,"4,5","0,4",0,0,"13,4","4,6","2,9","5,9"
Kazakhstan,398,2006,15-49,"50,7","48,7","0,5",0,"6,7","0,3","36,2","4,8","0,1",0,"0,1",2,"0,5","0,4","1,1"
Kazakhstan,398,2010-2011,15-49,51,"49,5","1,2",0,"7,1","0,3","33,5","7,2","0,1",0,"0,1","1,5","0,4","0,5","0,6"
Kenya,404,1977-1978,15-50,7,"4,4",1,0,2,"0,6","0,7","0,1",0,0,0,"2,5","1,1","0,2","1,2"
Kenya,404,1984,15-49,17,"9,7","2,6",0,"3,1","0,5",3,"0,3","0,1",0,0,"7,3","3,8","0,6","2,9"
Kenya,404,1988-1989,15-49,"26,9","17,9","4,7",0,"5,2","3,3","3,7","0,5","0,4",0,0,9,"7,5","0,2","1,3"
Kenya,404,1993,15-49,"32,7","27,3","5,5",0,"9,5","7,2","4,2","0,8","0,1",0,0,"5,5","4,2","0,4","0,8"
Kenya,404,1998,15-49,39,"31,5","6,2",0,"8,5","11,8","2,7","1,3",0,"0,8",0,"7,5","6,1","0,6","0,8"
Kenya,404,2003,15-49,"39,3","31,5","4,3",0,"7,5","14,3","2,4","1,2",0,"1,7",0,"7,8","6,3","0,6","0,8"
Kenya,404,2008-2009,15-49,"45,5","38,9","4,8",0,"7,2","21,6","1,6","1,8",0,"1,9",0,"6,6","4,7","0,7","1,2"
Kiribati,296,2000,15-49,"36,1","31,1","1,4",1,"6,5","14,4","0,9","0,4","0,1","6,3",0,5,"2,9",1,"1,1"
Kiribati,296,2009,15-49,"22,3","17,6",4,"0,5","1,3","7,6","0,6","0,4",0,"3,2",0,"4,7","3,3",1,"0,4"
Kuwait,414,1984-1985,15-49,39,"37,3","1,6",0,"30,8",0,"4,9",0,0,0,0,"1,7",0,0,0
Kuwait,414,1987,15-49,"34,6","31,7",2,0,24,0,"3,7","1,5","0,5",0,0,"2,9","1,6","0,6","0,7"
Kuwait,414,1994,<50,"49,8","47,4","0,5",0,"37,4",0,8,"1,5",0,0,0,"2,5",0,0,"2,5"
Kuwait,414,1996,15-49,"50,2","40,9","2,1",0,"28,8",0,"6,8","2,9",0,0,"0,3","9,3","4,3","3,4","1,6"
Kuwait,414,1999,15-49,52,"39,3","4,1",0,"23,4",0,"8,8","2,9","0,1",0,0,"12,9","4,1","5,7","3,1"
Kyrgyzstan,417,1997,15-49,"59,5","48,9","1,8",0,"1,7","1,3","38,2","5,7",0,0,"0,1","10,7","3,2",6,"1,5"
Kyrgyzstan,417,2005-2006,15-49,"47,8","45,5","0,9",0,"5,1","1,2",32,"5,8","0,3",0,"0,1","2,3","0,7","0,5","1,1"
Kyrgyzstan,417,2012,15-49,"36,3","33,5","1,6",0,"1,5","0,5","22,1","7,7",0,0,0,"2,8","0,2","2,3","0,3"
Lao People's Democratic Republic,418,1993,15-49,"18,6","15,1","5,1",0,"6,4","2,1","1,2","0,1",0,"0,1",0,"3,5","2,9","0,4","0,2"
Lao People's Democratic Republic,418,1994-1995,15-49,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lao People's Democratic Republic,418,2000,15-49,"32,2","28,9","4,7",0,"12,9","7,6",3,"0,5",0,"0,1",0,"3,2","2,2","0,7","0,3"
Lao People's Democratic Republic,418,2005,15-49,"38,4",35,"4,7",0,"15,9","10,6","2,9","0,8",0,0,0,"3,4",2,"0,9","0,6"
Lao People's Democratic Republic,418,2011-2012,15-49,"49,8","42,1","4,6",0,"21,2","13,6","1,6","1,1",0,"0,1",0,"7,7","4,9","1,9","0,7"
Latvia,428,1995,18-49,"67,8","55,5",0,"2,1","11,3","0,1",28,"13,6","0,4",0,0,"12,3","7,1","4,5","0,7"
Lebanon,422,1971,15-49,53,23,1,0,14,0,1,7,0,0,0,30,7,23,0
Lebanon,422,1983-1984,15-49,"61,7","46,7","5,2","0,1","24,2","0,1","10,3","4,2","2,6",0,0,"15,1","3,3","11,8",0
Lebanon,422,1983-1984,15-49,"68,8","30,7","5,8",0,"11,6",0,"9,4","2,1","1,8",0,0,"37,9","14,8","22,7","0,4"
Lebanon,422,1996,15-49,"61,1","37,2","4,2",0,10,"0,1",17,"5,6","0,2",0,0,"23,8",10,"11,8",2
Lebanon,422,2000,15-49,"62,7","40,4",0,0,0,0,0,0,0,0,0,"22,2",0,0,0
Lebanon,422,2004,15-49,58,34,0,0,0,0,0,0,0,0,0,24,0,0,0
Lesotho,426,1977,15-49,"7,2","3,4","1,1",0,"1,6","0,3","0,2","0,2",0,0,0,"3,8","0,1","3,4","0,3"
Lesotho,426,1991-1992,15-49,"23,2","18,9","1,4",0,"7,2","6,3","2,8","1,2",0,0,0,"4,3","1,2","2,8","0,3"
Lesotho,426,1995,15-49,"29,1","26,8",0,0,"8,1","11,9",3,"2,8","0,3",0,"0,7","2,3",0,0,"0,8"
Lesotho,426,2000,15-49,"30,4","29,4","1,3","0,1","9,4","13,9","2,6","1,8","0,2","0,1",0,1,0,"0,4","0,5"
Lesotho,426,2001,12-49,"40,6","36,1","0,3",0,"11,5","14,7","2,9","6,5","0,1","0,1",0,"4,5",4,"0,4","0,1"
Lesotho,426,2002,12-49,38,"33,9",1,0,"10,9",12,"4,3","10,2","0,3","0,1","0,4","6,7","1,6","3,6","2,2"
Lesotho,426,2004-2005,15-49,"37,3","35,2","2,7",0,"10,9","14,7","2,1","4,8",0,0,0,"2,1",0,"0,9","1,2"
Lesotho,426,2009-2010,15-49,47,"45,6","2,4",0,"12,5","19,3","1,9","9,4",0,"0,1","0,1","1,4","0,1","0,7","0,6"
Liberia,430,1986,15-49,"6,4","5,5","1,1",0,"3,3","0,3","0,6",0,"0,2",0,0,"0,9","0,6","0,1","0,2"
Liberia,430,2007,15-49,"11,4","10,3","0,6",0,"3,8","4,1","0,2","1,6",0,0,0,"1,2",1,"0,2",0
Liberia,430,2013,15-49,"20,2","19,1","0,3",0,5,"11,2",0,"0,4",0,"2,1","0,2","1,1","1,1",0,0
Libya,434,1995,15-49,"45,2","25,7",0,0,"9,6",0,"11,2",0,0,0,"4,9","19,6",0,0,0
Libya,434,2007,15-49,"41,9","20,4","1,5",0,"9,3","0,3","6,8","2,3",0,0,"0,1","21,5","16,2","2,9","2,4"
Lithuania,440,1994-1995,18-49,"50,7","33,2",0,0,"3,6","0,2","15,2","14,2",0,0,0,"17,5","10,1","6,5","0,9"
Lithuania,440,2006,18-49,"62,9","50,4","2,1","0,3",18,0,"9,6","19,4","0,8","0,1","0,2","12,5","5,2","7,3",0
Madagascar,450,1992,15-49,"16,7","5,1","0,9",0,"1,4","1,6","0,5","0,5","0,1",0,0,"11,6",9,"2,1","0,5"
Madagascar,450,1997,15-49,"19,4","9,7",1,0,"2,4","4,7","0,5","0,7","0,1","0,4",0,"9,7","7,9","1,6","0,2"
Madagascar,450,1999,15-49,25,"12,9",0,0,0,0,0,0,0,0,0,"12,1",0,0,0
Madagascar,450,2000,15-49,"18,8","11,8","0,6",0,"3,3","6,7","0,3","0,4",0,"0,4",0,7,6,"0,3","0,7"
Madagascar,450,2003-2004,15-49,"27,1","16,7","1,1",0,"3,4","10,2","0,6",1,0,"0,3",0,"10,4","8,2","0,5","1,7"
Madagascar,450,2008-2009,15-49,"39,9","28,2","1,1","0,1",6,"17,9","0,4","1,1",0,"1,5",0,"11,7","9,7","0,8","1,2"
Malawi,454,1984,15-49,"6,9","3,2",0,0,"0,7","0,1","0,3",0,0,0,"2,1","3,7",0,"0,2","3,5"
Malawi,454,1992,15-49,13,"7,4","1,7",0,"2,2","1,5","0,3","1,6","0,1",0,0,"5,6","2,2","1,5",2
Malawi,454,1996,15-49,"21,9","14,4","2,5",0,"3,4","6,4","0,4","1,6",0,0,0,"7,5",2,"1,9","3,6"
Malawi,454,2000,15-49,"30,6","25,7","4,7","0,1","2,7","16,4","0,1","1,6",0,"0,1",0,"4,9","0,9","1,5","2,5"
Malawi,454,2004,15-49,"32,5","28,1","5,8",0,2,18,"0,1","1,8",0,"0,5",0,"4,3","0,5","2,1","1,7"
Malawi,454,2006,15-49,41,"38,4","4,4","0,1","2,4",29,"0,3","1,5","0,1","0,7",0,"2,6","0,7","0,8",1
Malawi,454,2010,15-49,"46,1","42,2","9,7","0,1","2,5","25,8","0,3","2,4",0,"1,3","0,1","3,9","0,8","1,8","1,2"
Malaysia,458,1966-1967,15-44,"8,7","6,2",0,0,4,0,"0,2","0,8","0,2",0,1,"2,5",0,0,0
Malaysia,458,1974,15-49,33,"23,7","3,4","0,4","16,2","0,2","0,7","2,7","0,1",0,0,"9,3","3,5","1,9","3,9"
Malaysia,458,1984,15-49,"51,4","29,8","7,5","0,2","11,6","0,5","2,2","7,6","0,2",0,0,"21,7","6,9","3,9","10,9"
Malaysia,458,1988,15-49,"48,3","31,4",0,0,"4,6",0,"3,5","5,6",0,0,"17,7",17,7,"4,2","5,8"
Malaysia,458,1994,15-49,"55,1","30,4",0,0,"13,4",0,"3,9","5,4",0,0,"7,7","24,7","8,9","6,9","8,9"
Malaysia,458,2004,15-49,49,"32,3",0,0,"13,2",0,"4,2","7,1",0,0,"7,8","16,7","8,8","3,9",4
Maldives,462,1991,15-49,29,19,4,0,10,2,1,2,0,0,0,10,0,0,0
Maldives,462,1999,15-49,42,33,10,1,13,3,1,6,0,0,0,9,0,0,0
Maldives,462,2004,15-49,39,34,7,1,13,3,2,9,0,0,0,5,0,0,0
Maldives,462,2009,15-49,"34,7",27,"10,1","0,5","4,6","1,2","0,8","9,3",0,"0,5",0,"7,8","3,4","4,2","0,1"
Mali,466,1987,15-49,"4,7","1,3","0,1",0,"0,9","0,1","0,1",0,"0,1",0,0,"3,4","1,3","0,1",2
Mali,466,1995-1996,15-49,"6,7","4,5","0,3",0,"3,1","0,2","0,3","0,4",0,0,"0,2","2,2","1,6","0,1","0,5"
Mali,466,2001,15-49,"8,1","5,7","0,3",0,"2,8","2,1","0,2","0,3",0,"0,1",0,"2,3","0,6",0,"1,7"
Mali,466,2006,15-49,"8,2","6,3","0,3",0,"2,9","2,5","0,1","0,4",0,"0,1",0,"1,9","0,8",0,"1,1"
Mali,466,2012-2013,15-49,"10,3","9,9","0,1",0,"2,7",4,"0,4","0,1",0,"2,5",0,"0,5",0,"0,1","0,4"
Malta,470,1971,20-45,87,16,1,1,2,0,0,12,0,0,0,0,40,70,1
Malta,470,1993,20-45,"85,8",46,"2,2","2,2","15,8",0,"2,9","21,9",1,0,0,0,"19,4","40,6","8,1"
Marshall Islands,584,1970,15-49,"22,7","18,1",0,0,"16,3",0,0,0,0,0,"1,8","4,6","2,3",0,"2,3"
Marshall Islands,584,1985,15-49,"27,2","19,4","12,8","1,4","2,7","0,1","0,7","1,5","0,2",0,0,"7,8",4,"0,6","3,2"
Marshall Islands,584,2007,15-49,"44,6","42,4",25,"0,2","2,7","9,2",0,"1,4",0,"3,8",0,"2,2","1,4","0,6","0,2"
Martinique,474,1976,15-49,"35,5","27,3","8,8",0,"11,8",0,"1,9",3,"1,1",0,"0,7","8,2","3,1","4,1",1
Mauritania,478,1981,15-49,"0,8","0,3","0,2",0,0,0,0,0,"0,1",0,0,"0,5","0,1","0,4",0
Mauritania,478,1990-1991,15-49,"4,1","1,2","0,1",0,"0,5","0,1","0,3","0,1","0,1",0,0,"3,9","0,4","1,7","1,8"
Mauritania,478,2000-2001,15-49,8,"5,1",0,0,"2,6","0,9","0,8","0,8",0,0,"0,1","2,8","0,3","2,2","0,3"
Mauritania,478,2007,15-49,"9,3",8,"0,1",0,"5,7",1,"0,3","0,4","0,1",0,"0,4","1,3","0,2",1,"0,1"
Mauritius,480,1975,<50,"45,7","29,2",0,0,21,"1,6","1,5","5,1",0,0,0,"16,4","13,9","1,5",1
Mauritius,480,1985,15-49,"74,6","44,2","4,6",0,21,"6,4","2,3","9,3","0,6",0,0,"30,6","16,9","12,4","1,3"
Mauritius,480,1991,15-44,"74,6","49,2","7,1","0,2",21,"4,6","2,8","13,1","0,4",0,0,"25,4","9,3","15,7","0,4"
Mauritius,480,2002,15-49,"75,8","39,3","8,9","0,1",16,"3,7","1,4","8,9","0,2","0,1",0,"36,5","10,1","26,4",0
Mexico,484,1976-1977,15-49,"30,3","23,3","2,7","0,2","10,8","1,7","5,7","0,8","1,4",0,0,"7,1","3,1","3,6","0,4"
Mexico,484,1978-1979,15-49,"37,8",32,"8,9","0,2","12,5","2,5","6,1",0,0,0,"1,9","5,7",0,0,0
Mexico,484,1982,15-49,"47,7","41,5","13,4","0,3","14,2","5,1","6,6","0,9",1,0,0,"6,1","3,8","0,4","1,9"
Mexico,484,1987,15-49,"52,7","44,6","18,6","0,8","9,7","2,8","10,2","1,9","0,6",0,0,"8,1",0,0,0
Mexico,484,1992,15-49,"63,1","55,2",0,0,"9,8",0,"11,1","2,9",0,0,"31,4","7,9",0,0,0
Mexico,484,1995,15-49,"66,5","57,5","27,3","0,6","8,4","3,1","14,6",0,0,0,"3,4","8,9",0,0,0
Mexico,484,1997,15-49,"68,4","59,5",0,0,"7,1",0,"14,1","3,6",0,0,"34,7","8,9",0,0,0
Mexico,484,2003,15-49,"74,5","69,3",0,0,"6,1",0,"14,3","5,8",0,0,"43,1","5,2",0,0,0
Mexico,484,2006,15-49,"70,9","66,5",0,0,"4,7",5,"11,6","6,4","0,4",0,"38,4","4,4",0,0,0
Mexico,484,2009,15-49,"72,5",0,"36,3","2,2",0,0,0,0,0,0,"28,9","5,1",0,0,"5,1"
Mongolia,496,1994,15-49,"57,3","41,2","0,9",0,"2,5","1,1","33,1","3,4",0,"0,3",0,"16,1","13,1","0,6","2,4"
Mongolia,496,1998,15-49,"59,9","45,7","2,4",0,"4,2","3,1","32,2","3,5","0,1","0,2",0,"14,3","12,5","0,7","1,1"
Mongolia,496,2000,15-49,"67,4","54,4","1,3","0,2","8,3","5,8","33,5","4,3","0,1","0,3","0,6",13,8,"0,1",5
Mongolia,496,2003,15-49,69,"58,4",3,0,11,"5,8","32,8","5,4",0,"0,3","0,1","10,6","9,9","0,6",0
Mongolia,496,2005,15-49,66,"60,6","2,4","0,1","11,5","11,1","28,9","5,3","0,2","0,8","0,3","5,4","4,7","0,1","0,7"
Mongolia,496,2008,15-49,"55,2","49,6","2,6",0,"9,7","7,9","22,3","6,7",0,"0,2",0,"5,5","5,1","0,3","0,1"
Mongolia,496,2010,15-49,"54,9","50,2","2,8","0,4","12,4","4,6","22,7",7,"0,1","0,3",0,"4,7","4,3",0,"0,4"
Montenegro,499,1970,15-44,"49,5",7,0,0,"3,5",0,"0,4","3,1",0,0,0,"42,5","3,3","39,2",0
Montenegro,499,2000,15-49,"52,7",30,0,0,"6,8",0,"7,6","13,6",2,0,0,"22,7","10,6","11,4","0,7"
Montenegro,499,2005-2006,15-49,"39,4","17,2","0,1",0,"2,4",0,"9,7","4,3","0,5",0,"0,1","22,2","3,9","17,7","0,5"
Montserrat,500,1984,15-44,"52,6","52,2",0,0,"30,6","3,2",11,"3,4","2,4",0,"1,6","0,3",0,0,0
Morocco,504,1979-1980,15-49,"19,4","16,4","0,8",0,"13,7",0,"1,6","0,3",0,0,0,3,"1,1","1,1","0,8"
Morocco,504,1983-1984,15-49,"25,5","21,2","1,7",0,"16,8",0,2,"0,4","0,3",0,0,"4,3","1,5","1,6","1,2"
Morocco,504,1987,15-49,"35,9","28,9","2,2",0,"22,9","0,3","2,9","0,5","0,1",0,0,"6,9","2,3","3,1","1,5"
Morocco,504,1992,15-49,"41,5","35,5",3,0,"28,1","0,1","3,2","0,9","0,2",0,0,6,3,"2,6","0,3"
Morocco,504,1995,15-49,"50,3","42,4","4,3",0,"32,2","0,1","4,3","1,4","0,1","0,1",0,"7,9","4,6","2,8","0,4"
Morocco,504,1997,15-49,"58,4","48,8",3,0,"38,3","0,7","5,3","1,2","0,1","0,1","0,1","9,6","3,2",3,"3,4"
Morocco,504,2003-2004,15-49,63,52,"2,7",0,"40,1","2,1","5,4","1,5","0,1",0,0,11,"3,8","4,4","2,9"
Morocco,504,2010-2011,15-49,"67,4","56,7",0,0,"48,4",0,"4,2",0,0,0,"4,1","10,7","4,4","4,1","2,1"
Mozambique,508,1997,15-49,"5,6","5,1","0,7",0,"1,4","2,3","0,3","0,3",0,0,0,"0,5","0,1",0,"0,4"
Mozambique,508,2003-2004,15-49,"25,5","20,8","0,9",0,"4,9","4,8","0,1","1,1",0,0,0,"4,7","3,1","0,2","10,5"
Mozambique,508,2008,15-49,"16,2","12,2","0,2",0,"6,3","4,6","0,2","0,8",0,0,0,4,"1,1","0,1","2,9"
Mozambique,508,2011,15-49,"11,6","11,1","0,2",0,"4,5","5,1","0,1","1,1",0,0,"0,1","0,5","0,1","0,1","0,3"
Myanmar,104,1991,15-49,"16,8","13,6","3,7","1,8",4,"3,1","0,9","0,1",0,0,0,"3,2","2,2","0,4","0,5"
Myanmar,104,1997,15-49,"32,7","28,3","5,5","2,2","7,4","11,7","1,3","0,1",0,0,0,"4,4","2,4","0,8","1,2"
Myanmar,104,2001,15-49,37,"32,8","4,6","1,5","9,8","14,8","1,8","0,3",0,0,0,"4,2","1,8",1,"1,3"
Myanmar,104,2007,15-49,41,"38,4","4,4",1,"10,8","19,7","1,8","0,7",0,0,0,"2,6","1,2","0,7","0,6"
Myanmar,104,2009-2010,15-49,46,"45,7","3,6","0,4","11,5","27,5","2,1","0,4",0,"0,1",0,"0,4","0,1",0,"0,2"
Namibia,516,1989,<50,"40,9","32,1","6,4","0,1","8,2",16,"1,4",0,0,0,0,"8,8",0,0,"8,8"
Namibia,516,1992,15-49,"28,9",26,"7,4","0,2","8,3","7,7","2,1","0,3","0,1",0,0,"2,9","0,7","0,3","1,9"
Namibia,516,2000,15-49,"43,7","42,6","8,5","0,8","8,2","18,7","1,2","5,2",0,0,"0,1","1,1","0,2","0,1","0,9"
Namibia,516,2006-2007,15-49,"55,1","53,5","10,3","0,4","8,6","21,8","1,4","10,6","0,1","0,2","0,1","1,6","0,4","0,3","0,9"
Nauru,520,2007,15-49,"35,6",23,"13,3","0,2","0,6","2,3","3,8","2,8",0,0,0,"12,6","4,7","4,5","3,3"
Nepal,524,1976,15-49,"2,4","2,4","0,1","1,6","0,4",0,"0,1","0,2",0,0,0,0,0,0,0
Nepal,524,1981,15-49,"6,8","6,8","2,3","2,9","1,1","0,1",0,"0,4",0,0,0,0,0,0,0
Nepal,524,1986,15-49,"15,1","15,1","6,8","6,2","0,9","0,5","0,1","0,6",0,0,0,0,0,0,0
Nepal,524,1991-1992,15-49,"24,1","24,1","12,1","7,5","1,1","2,3","0,2","0,6",0,"0,3",0,0,0,0,0
Nepal,524,1996,15-49,"28,5",26,"12,1","5,4","1,4","4,5","0,3","1,9","0,1","0,4",0,"2,5","0,9","1,4","0,2"
Nepal,524,2000,15-49,"37,3","37,1","14,5","7,7","2,4","10,6","0,1","1,4","0,1","0,3",0,"0,2","0,2",0,0
Nepal,524,2001,15-49,"39,3","35,4",15,"6,3","1,6","8,4","0,4","2,9",0,"0,6",0,"3,9","1,1","2,6","0,3"
